year,month,country,revenue,times_viewed,date
2017,11,Belgium,130.0,1.0,2017-11-01
2017,11,EIRE,570.21,737.0,2017-11-01
2017,11,France,352.42,704.0,2017-11-01
2017,11,Germany,156.48,374.0,2017-11-01
2017,11,Netherlands,49.33,240.0,2017-11-01
2017,11,Portugal,208.75,771.0,2017-11-01
2017,11,United Kingdom,39445.59,41815.0,2017-11-01
2018,2,Belgium,3402.1800000000003,0.0,2018-02-01
2018,2,EIRE,2523.79,0.0,2018-02-01
2018,2,France,1694.52,0.0,2018-02-01
2018,2,Germany,1570.7,0.0,2018-02-01
2018,2,Netherlands,1199.3100000000002,0.0,2018-02-01
2018,2,Portugal,289.90999999999997,0.0,2018-02-01
2018,2,United Kingdom,103386.264,0.0,2018-02-01
2018,3,Belgium,236.97,0.0,2018-03-01
2018,3,EIRE,4686.84,0.0,2018-03-01
2018,3,France,911.74,0.0,2018-03-01
2018,3,Germany,2427.52,0.0,2018-03-01
2018,3,Netherlands,877.41,0.0,2018-03-01
2018,3,Norway,33628.55,0.0,2018-03-01
2018,3,Portugal,171.94,0.0,2018-03-01
2018,3,United Kingdom,211490.981,0.0,2018-03-01
2018,4,Belgium,312.48,0.0,2018-04-01
2018,4,EIRE,3042.55,0.0,2018-04-01
2018,4,France,705.27,0.0,2018-04-01
2018,4,Germany,2352.251,0.0,2018-04-01
2018,4,Hong Kong,100.26,0.0,2018-04-01
2018,4,Netherlands,734.49,0.0,2018-04-01
2018,4,Portugal,11.78,0.0,2018-04-01
2018,4,Singapore,152.76,0.0,2018-04-01
2018,4,United Kingdom,103206.13100000001,0.0,2018-04-01
2018,5,Belgium,112.13,0.0,2018-05-01
2018,5,EIRE,3761.58,0.0,2018-05-01
2018,5,France,1475.3,0.0,2018-05-01
2018,5,Germany,1469.11,0.0,2018-05-01
2018,5,Hong Kong,4793.22,0.0,2018-05-01
2018,5,Netherlands,850.73,0.0,2018-05-01
2018,5,Portugal,186.17,0.0,2018-05-01
2018,5,United Kingdom,136435.36,0.0,2018-05-01
2018,6,Belgium,656.14,0.0,2018-06-01
2018,6,EIRE,3044.98,0.0,2018-06-01
2018,6,France,1214.97,0.0,2018-06-01
2018,6,Germany,2937.69,0.0,2018-06-01
2018,6,Hong Kong,54.6,0.0,2018-06-01
2018,6,Netherlands,402.68,0.0,2018-06-01
2018,6,Portugal,621.63,0.0,2018-06-01
2018,6,United Kingdom,217849.5,0.0,2018-06-01
2018,7,Belgium,369.04,0.0,2018-07-01
2018,7,EIRE,4133.82,0.0,2018-07-01
2018,7,France,4783.86,0.0,2018-07-01
2018,7,Germany,4130.51,0.0,2018-07-01
2018,7,Netherlands,499.18,0.0,2018-07-01
2018,7,Portugal,96.85,0.0,2018-07-01
2018,7,United Kingdom,91460.41,0.0,2018-07-01
2018,8,Belgium,203.76,0.0,2018-08-01
2018,8,EIRE,2789.03,0.0,2018-08-01
2018,8,France,3351.6,0.0,2018-08-01
2018,8,Germany,1535.46,0.0,2018-08-01
